id,user_id,item_id,date
0,1,1,March 14
1,3,1,March 14
24,3,18,March 14
23,4,172,March 14
24,1,2,March 15
25,3,2,March 15
26,4,171,March 15
27,1,3,March 16
28,3,3,March 16
29,4,21,March 16
30,1,4,March 17
31,3,4,March 17
32,5,341,March 17
33,1,5,March 18
34,3,5,March 18
35,5,340,March 18
36,1,5,March 19
37,3,5,March 19
38,5,488,March 19
39,1,6,March 20
40,3,6,March 20
41,6,60,March 20
42,1,7,March 21
43,3,7,March 21
44,6,487,March 21
45,3,7,March 22
46,4,7,March 22
47,3,31,March 23
48,4,31,March 23
49,4,30,March 24
50,4,31,March 25
51,4,32,March 26
52,4,4,March 27
